Episode, Loss, Epsilon, Steps
4.600000000000000000e+01,1.934292320384890307e+06,8.978639999999999954e-01,1.463000000000000000e+03
4.700000000000000000e+01,1.863362639492780343e+07,8.978298833333333562e-01,1.489000000000000000e+03
4.800000000000000000e+01,1.379711958912095241e+07,8.977913166666666722e-01,1.532000000000000000e+03
4.900000000000000000e+01,1.439026858426916879e+06,8.977275333333333274e-01,1.549000000000000000e+03
5.000000000000000000e+01,5.064717753241884522e+06,8.977023166666666665e-01,1.573000000000000000e+03
5.100000000000000000e+01,2.766242178439145535e+07,8.976667166666666420e-01,1.613000000000000000e+03
5.200000000000000000e+01,2.276476934451605193e+06,8.976073833333333418e-01,1.639000000000000000e+03
5.300000000000000000e+01,1.834803006260496750e+07,8.975688166666666579e-01,1.662000000000000000e+03
5.400000000000000000e+01,1.824763987989404937e+06,8.975347000000000186e-01,1.686000000000000000e+03
5.500000000000000000e+01,4.140154853051694576e+06,8.974990999999999941e-01,1.723000000000000000e+03
5.600000000000000000e+01,1.965462097253988497e+06,8.974442166666667386e-01,1.736000000000000000e+03
5.700000000000000000e+01,2.959796380611764640e+07,8.974249333333333967e-01,1.781000000000000000e+03
5.800000000000000000e+01,1.155985221960600466e+07,8.973581833333333924e-01,1.823000000000000000e+03
5.900000000000000000e+01,2.637974328918674961e+07,8.972958833333333217e-01,1.849000000000000000e+03
6.000000000000000000e+01,1.803063790408834070e+07,8.972573166666666378e-01,1.875000000000000000e+03
6.100000000000000000e+01,2.889972855535467342e+07,8.972187500000000648e-01,1.915000000000000000e+03
6.200000000000000000e+01,1.627869134088501101e+06,8.971594166666666537e-01,1.949000000000000000e+03
6.300000000000000000e+01,1.109581510942667909e+07,8.971089833333333319e-01,1.974000000000000000e+03
6.400000000000000000e+01,3.203848761519408785e+06,8.970719000000000332e-01,2.015000000000000000e+03
6.500000000000000000e+01,1.984164892551439255e+07,8.970110833333333478e-01,2.045000000000000000e+03
6.600000000000000000e+01,1.291944847839716449e+07,8.969665833333333449e-01,2.077000000000000000e+03
6.700000000000000000e+01,5.328312692677889019e+06,8.969191166666666826e-01,2.099000000000000000e+03
6.800000000000000000e+01,2.095754350855820579e+06,8.968864833333333175e-01,2.122000000000000000e+03
6.900000000000000000e+01,3.372777692994432896e+07,8.968523666666666783e-01,2.156000000000000000e+03
7.000000000000000000e+01,1.714578450244404748e+07,8.968019333333333565e-01,2.178000000000000000e+03
7.100000000000000000e+01,2.475415537390466314e+06,8.967692999999999914e-01,2.202000000000000000e+03
7.200000000000000000e+01,4.064638714541234821e+07,8.967336999999999669e-01,2.220000000000000000e+03
7.300000000000000000e+01,1.013526269335052371e+08,8.967070000000000318e-01,2.291000000000000000e+03
7.400000000000000000e+01,3.418729841527031269e+06,8.966016833333333436e-01,2.321000000000000000e+03
7.500000000000000000e+01,2.630213238411631435e+06,8.965571833333333407e-01,2.355000000000000000e+03
7.600000000000000000e+01,3.531358503451560438e+07,8.965067500000000189e-01,2.409000000000000000e+03
7.700000000000000000e+01,5.758946062686524354e+06,8.964266499999999915e-01,2.430000000000000000e+03
7.800000000000000000e+01,2.828236779139881488e+06,8.963955000000000117e-01,2.466000000000000000e+03
7.900000000000000000e+01,2.743845905296658725e+07,8.963421000000000305e-01,2.495000000000000000e+03
8.000000000000000000e+01,1.148928027296514437e+07,8.962990833333333018e-01,2.524000000000000000e+03
8.100000000000000000e+01,3.470357936093870550e+07,8.962560666666666842e-01,2.563000000000000000e+03
8.200000000000000000e+01,2.094796077219329774e+06,8.961982166666666583e-01,2.586000000000000000e+03
8.300000000000000000e+01,2.876072845324901864e+06,8.961641000000000190e-01,2.614000000000000000e+03
8.400000000000000000e+01,9.716274360429449007e+06,8.961225666666666756e-01,2.634000000000000000e+03
8.500000000000000000e+01,4.105360437789591402e+07,8.960928999999999700e-01,2.661000000000000000e+03
8.600000000000000000e+01,1.674028843962955289e+06,8.960528500000000118e-01,2.681000000000000000e+03
8.700000000000000000e+01,3.040203209353141487e+06,8.960231833333333062e-01,2.721000000000000000e+03
8.800000000000000000e+01,1.451008029268387705e+06,8.959638500000000061e-01,2.740000000000000000e+03
8.900000000000000000e+01,1.152995213619209640e+07,8.959356666666666857e-01,2.768000000000000000e+03
9.000000000000000000e+01,3.571054469627304468e+06,8.958941333333333423e-01,2.795000000000000000e+03
9.100000000000000000e+01,2.285221183427643497e+06,8.958540833333333842e-01,2.823000000000000000e+03
9.200000000000000000e+01,2.610398470947799087e+07,8.958125500000000407e-01,2.855000000000000000e+03
9.300000000000000000e+01,2.179655229920651298e+06,8.957650833333333784e-01,2.880000000000000000e+03
9.400000000000000000e+01,4.156029395941151679e+07,8.957279999999999687e-01,2.915000000000000000e+03
9.500000000000000000e+01,2.799294873114984948e+06,8.956760833333333727e-01,2.941000000000000000e+03
9.600000000000000000e+01,2.971646245019122213e+07,8.956375166666666887e-01,3.000000000000000000e+03
9.700000000000000000e+01,1.066560018076117150e+07,8.955500000000000682e-01,3.027000000000000000e+03
9.800000000000000000e+01,1.906614049799047178e+06,8.955099499999999990e-01,3.051000000000000000e+03
9.900000000000000000e+01,7.124808680837159045e+06,8.954743499999999745e-01,3.081000000000000000e+03
1.000000000000000000e+02,1.980259970914250612e+07,8.954298499999999716e-01,3.109000000000000000e+03
1.010000000000000000e+02,1.149864052843900956e+07,8.953883166666667393e-01,3.141000000000000000e+03
1.020000000000000000e+02,5.545304867388913780e+07,8.953408499999999659e-01,3.182000000000000000e+03
1.030000000000000000e+02,2.120010526166286785e+06,8.952800333333333915e-01,3.207000000000000000e+03
1.040000000000000000e+02,2.403271741952585988e+06,8.952429499999999818e-01,3.233000000000000000e+03
1.050000000000000000e+02,4.131497032544402406e+06,8.952043833333334089e-01,3.261000000000000000e+03
1.060000000000000000e+02,3.989822855664324947e+06,8.951628500000000654e-01,3.304000000000000000e+03
1.070000000000000000e+02,2.631150546345313266e+07,8.950990666666667206e-01,3.323000000000000000e+03
1.080000000000000000e+02,1.119112845188562199e+07,8.950708833333334002e-01,3.351000000000000000e+03
1.090000000000000000e+02,2.827819800770189986e+07,8.950293500000000568e-01,3.392000000000000000e+03
1.100000000000000000e+02,3.928402336282364558e+06,8.949685333333333714e-01,3.420000000000000000e+03
1.110000000000000000e+02,7.281182183537645265e+06,8.949270000000000280e-01,3.477000000000000000e+03
1.120000000000000000e+02,3.351300386645842344e+06,8.948424500000000670e-01,3.513000000000000000e+03
1.130000000000000000e+02,2.919063604061805457e+07,8.947890499999999747e-01,3.550000000000000000e+03
1.140000000000000000e+02,4.143105947680217028e+07,8.947341666666667193e-01,3.578000000000000000e+03
1.150000000000000000e+02,3.758114968510964885e+06,8.946926333333333758e-01,3.600000000000000000e+03
1.160000000000000000e+02,2.343825685730699450e+06,8.946600000000000108e-01,3.624000000000000000e+03
1.170000000000000000e+02,2.630368440002457052e+07,8.946243999999999863e-01,3.644000000000000000e+03
1.180000000000000000e+02,2.546640676858650893e+07,8.945947333333333917e-01,3.659000000000000000e+03
1.190000000000000000e+02,6.894045812487459183e+07,8.945724833333333903e-01,3.704000000000000000e+03
1.200000000000000000e+02,3.401095609090837650e+06,8.945057333333333860e-01,3.733000000000000000e+03
1.210000000000000000e+02,6.120700790357724577e+07,8.944627166666666573e-01,3.773000000000000000e+03
1.220000000000000000e+02,2.989670943640447222e+06,8.944033833333333572e-01,3.799000000000000000e+03
1.230000000000000000e+02,3.753164589830418117e+06,8.943648166666666732e-01,3.831000000000000000e+03
1.240000000000000000e+02,2.598321318825626280e+06,8.943173500000000109e-01,3.857000000000000000e+03
1.250000000000000000e+02,3.709811687264826149e+06,8.942787833333333269e-01,3.891000000000000000e+03
1.260000000000000000e+02,2.244645584319762886e+06,8.942283500000000052e-01,3.912000000000000000e+03
1.270000000000000000e+02,3.116009291074636206e+07,8.941972000000000254e-01,3.940000000000000000e+03
1.280000000000000000e+02,2.617721070931806229e+06,8.941556666666666819e-01,3.962000000000000000e+03
1.290000000000000000e+02,3.535482245406731032e+06,8.941230333333333169e-01,3.993000000000000000e+03
1.300000000000000000e+02,2.744249789755669981e+07,8.940770500000000398e-01,4.016000000000000000e+03
1.310000000000000000e+02,5.130662732898768038e+07,8.940429333333334005e-01,4.052000000000000000e+03
1.320000000000000000e+02,2.991069026856855024e+06,8.939895333333333083e-01,4.086000000000000000e+03
1.330000000000000000e+02,6.787780736328620464e+06,8.939390999999999865e-01,4.115000000000000000e+03
1.340000000000000000e+02,1.210835392826363631e+07,8.938960833333333689e-01,4.144000000000000000e+03
1.350000000000000000e+02,2.699110008461803198e+07,8.938530666666666402e-01,4.172000000000000000e+03
1.360000000000000000e+02,1.838578457889042795e+07,8.938115333333334078e-01,4.193000000000000000e+03
1.370000000000000000e+02,2.342464437025209423e+06,8.937803833333333170e-01,4.221000000000000000e+03
1.380000000000000000e+02,4.494453388788508624e+07,8.937388499999999736e-01,4.295000000000000000e+03
1.390000000000000000e+02,1.134230879820718057e+07,8.936290833333333516e-01,4.322000000000000000e+03
1.400000000000000000e+02,3.237333319491018727e+07,8.935890333333333935e-01,4.369000000000000000e+03
1.410000000000000000e+02,1.238415388085528091e+07,8.935193166666667297e-01,4.402000000000000000e+03
1.420000000000000000e+02,2.043388180860710563e+06,8.934703666666666821e-01,4.426000000000000000e+03
1.430000000000000000e+02,2.126003788006229326e+06,8.934347666666666576e-01,4.449000000000000000e+03
1.440000000000000000e+02,2.034437826944867522e+07,8.934006500000000184e-01,4.474000000000000000e+03
1.450000000000000000e+02,3.586234190122426022e+06,8.933635666666667197e-01,4.516000000000000000e+03
1.460000000000000000e+02,1.106234540978117660e+07,8.933012666666666490e-01,4.555000000000000000e+03
1.470000000000000000e+02,2.580112938799070194e+06,8.932434166666667341e-01,4.584000000000000000e+03
1.480000000000000000e+02,4.501700533396188915e+07,8.932004000000000055e-01,4.648000000000000000e+03
1.490000000000000000e+02,2.514541271780484170e+07,8.931054666666666808e-01,4.675000000000000000e+03
1.500000000000000000e+02,2.530944364416350145e+06,8.930654166666667226e-01,4.699000000000000000e+03
1.510000000000000000e+02,4.841673299849485978e+06,8.930298166666666981e-01,4.747000000000000000e+03
1.520000000000000000e+02,6.647289435744585842e+07,8.929586166666666491e-01,4.800000000000000000e+03
1.530000000000000000e+02,9.582499135420899838e+06,8.928800000000000070e-01,4.828000000000000000e+03
1.540000000000000000e+02,1.550471674007241614e+06,8.928384666666666636e-01,4.852000000000000000e+03
1.550000000000000000e+02,2.594442034017718397e+06,8.928028666666666391e-01,4.885000000000000000e+03
1.560000000000000000e+02,1.949363536205141246e+07,8.927539166666667025e-01,4.918000000000000000e+03
1.570000000000000000e+02,1.993834561700242013e+07,8.927049666666666550e-01,4.954000000000000000e+03
1.580000000000000000e+02,2.095543300961776450e+07,8.926515666666666737e-01,4.983000000000000000e+03
1.590000000000000000e+02,6.814161777037077583e+06,8.926085500000000561e-01,5.017000000000000000e+03
1.600000000000000000e+02,2.153482325180489570e+06,8.925581166666667343e-01,5.038000000000000000e+03
1.610000000000000000e+02,2.029547659192685038e+06,8.925269666666666435e-01,5.060000000000000000e+03
1.620000000000000000e+02,2.737442982018538751e+06,8.924943333333333895e-01,5.085000000000000000e+03
1.630000000000000000e+02,4.964227436415161192e+07,8.924572499999999797e-01,5.122000000000000000e+03
1.640000000000000000e+02,1.539088308480723295e+06,8.924023666666667243e-01,5.145000000000000000e+03
1.650000000000000000e+02,1.778689289515876397e+07,8.923682499999999740e-01,5.177000000000000000e+03
1.660000000000000000e+02,2.921372536301822402e+06,8.923207833333333117e-01,5.206000000000000000e+03
1.670000000000000000e+02,2.418591716417925432e+06,8.922777666666666940e-01,5.237000000000000000e+03
1.680000000000000000e+02,2.337169278571621049e+06,8.922317833333333059e-01,5.266000000000000000e+03
1.690000000000000000e+02,2.162650819891629741e+06,8.921887666666666883e-01,5.289000000000000000e+03
1.700000000000000000e+02,1.424307888520042645e+06,8.921546500000000490e-01,5.309000000000000000e+03
1.710000000000000000e+02,2.637451006683327630e+07,8.921249833333333434e-01,5.332000000000000000e+03
1.720000000000000000e+02,5.568636582992736250e+06,8.920908666666667042e-01,5.368000000000000000e+03
1.730000000000000000e+02,3.364301249761214852e+07,8.920374666666667229e-01,5.397000000000000000e+03
1.740000000000000000e+02,6.796908346467666328e+06,8.919944499999999943e-01,5.432000000000000000e+03
1.750000000000000000e+02,4.860809732879281044e+06,8.919425333333333983e-01,5.475000000000000000e+03
1.760000000000000000e+02,6.430145018809851259e+06,8.918787500000000534e-01,5.501000000000000000e+03
1.770000000000000000e+02,3.823979440143989865e+06,8.918401833333333695e-01,5.527000000000000000e+03
1.780000000000000000e+02,1.693899871432494838e+06,8.918016166666666855e-01,5.548000000000000000e+03
1.790000000000000000e+02,2.771565709130976722e+07,8.917704666666667057e-01,5.580000000000000000e+03
1.800000000000000000e+02,1.777871484414899349e+07,8.917230000000000434e-01,5.603000000000000000e+03
1.810000000000000000e+02,2.642453855797034688e+06,8.916888833333334041e-01,5.625000000000000000e+03
1.820000000000000000e+02,4.866353422547398135e+06,8.916562500000000391e-01,5.664000000000000000e+03
1.830000000000000000e+02,3.074514268915865943e+07,8.915984000000000131e-01,5.707000000000000000e+03
1.840000000000000000e+02,1.422825271538101323e+07,8.915346166666666683e-01,5.760000000000000000e+03
1.850000000000000000e+02,2.817118428170754109e+06,8.914560000000000262e-01,5.783000000000000000e+03
1.860000000000000000e+02,3.137947752964496613e+06,8.914218833333333869e-01,5.805000000000000000e+03
1.870000000000000000e+02,3.436041295422271639e+07,8.913892500000000219e-01,5.836000000000000000e+03
1.880000000000000000e+02,2.774057985254593194e+06,8.913432666666667448e-01,5.855000000000000000e+03
1.890000000000000000e+02,5.665984987881309353e+06,8.913150833333333134e-01,5.907000000000000000e+03
1.900000000000000000e+02,2.585081878959965333e+07,8.912379500000000565e-01,5.930000000000000000e+03
1.910000000000000000e+02,3.705645288680977654e+06,8.912038333333333062e-01,5.957000000000000000e+03
1.920000000000000000e+02,1.881717083714296808e+06,8.911637833333333480e-01,5.984000000000000000e+03
1.930000000000000000e+02,2.007602349168122746e+06,8.911237333333333899e-01,6.002000000000000000e+03
1.940000000000000000e+02,1.051899119094712660e+07,8.910970333333333437e-01,6.032000000000000000e+03
1.950000000000000000e+02,3.298471503193010576e+06,8.910525333333333409e-01,6.063000000000000000e+03
1.960000000000000000e+02,5.605574534563065507e+06,8.910065500000000638e-01,6.084000000000000000e+03
1.970000000000000000e+02,1.785361528344812617e+07,8.909753999999999730e-01,6.105000000000000000e+03
1.980000000000000000e+02,2.321389301215217449e+06,8.909442499999999932e-01,6.133000000000000000e+03
1.990000000000000000e+02,3.889538844179049600e+06,8.909027166666666497e-01,6.164000000000000000e+03
2.000000000000000000e+02,3.563040941013449430e+07,8.908567333333333726e-01,6.190000000000000000e+03
2.010000000000000000e+02,3.299238283693391364e+06,8.908181666666666887e-01,6.222000000000000000e+03
2.020000000000000000e+02,2.176249323964006267e+06,8.907707000000000264e-01,6.251000000000000000e+03
2.030000000000000000e+02,3.146500082927124202e+07,8.907276833333334087e-01,6.282000000000000000e+03
2.040000000000000000e+02,2.837652394194370881e+07,8.906817000000000206e-01,6.327000000000000000e+03
2.050000000000000000e+02,2.550542335734738410e+07,8.906149500000000163e-01,6.349000000000000000e+03
2.060000000000000000e+02,1.324505431548735686e+07,8.905823166666666513e-01,6.387000000000000000e+03
2.070000000000000000e+02,2.596004819826459978e+06,8.905259500000000106e-01,6.413000000000000000e+03
2.080000000000000000e+02,5.251875798630090803e+07,8.904873833333333266e-01,6.455000000000000000e+03
2.090000000000000000e+02,2.060149601067798678e+06,8.904250833333333670e-01,6.475000000000000000e+03
2.100000000000000000e+02,1.110758756353361905e+07,8.903954166666666614e-01,6.509000000000000000e+03
2.110000000000000000e+02,3.855822868132899515e+06,8.903449833333333396e-01,6.554000000000000000e+03
2.120000000000000000e+02,2.704897858431101218e+07,8.902782333333333353e-01,6.594000000000000000e+03
2.130000000000000000e+02,2.933423804367757216e+07,8.902189000000000352e-01,6.647000000000000000e+03
2.140000000000000000e+02,4.348577115793474950e+06,8.901402833333333930e-01,6.677000000000000000e+03
2.150000000000000000e+02,2.835282535860610753e+07,8.900957833333333902e-01,6.733000000000000000e+03
2.160000000000000000e+02,1.996587783725947142e+06,8.900127166666667033e-01,6.762000000000000000e+03
2.170000000000000000e+02,6.486723525804493576e+06,8.899696999999999747e-01,6.795000000000000000e+03
2.180000000000000000e+02,1.953670465060166270e+07,8.899207500000000381e-01,6.828000000000000000e+03
2.190000000000000000e+02,5.595461289745302871e+06,8.898717999999999906e-01,6.868000000000000000e+03
2.200000000000000000e+02,2.999195357755504176e+07,8.898124666666666904e-01,6.926000000000000000e+03
2.210000000000000000e+02,2.112762801429510117e+06,8.897264333333333441e-01,6.952000000000000000e+03
2.220000000000000000e+02,3.417894504856286943e+07,8.896878666666666602e-01,6.973000000000000000e+03
2.230000000000000000e+02,1.295359767217797786e+07,8.896567166666666804e-01,7.015000000000000000e+03
2.240000000000000000e+02,2.794181421702804510e+06,8.895944166666667208e-01,7.037000000000000000e+03
2.250000000000000000e+02,4.339197465742480010e+06,8.895617833333333557e-01,7.080000000000000000e+03
2.260000000000000000e+02,1.405848779706853209e+06,8.894980000000000109e-01,7.101000000000000000e+03
2.270000000000000000e+02,2.296133142518850975e+06,8.894668500000000311e-01,7.124000000000000000e+03
2.280000000000000000e+02,2.931271143142245244e+06,8.894327333333333918e-01,7.164000000000000000e+03
2.290000000000000000e+02,5.992921088988768868e+06,8.893733999999999806e-01,7.185000000000000000e+03
2.300000000000000000e+02,2.094597580476248637e+06,8.893422500000000008e-01,7.207000000000000000e+03
2.310000000000000000e+02,2.418669437485737726e+06,8.893096166666666358e-01,7.231000000000000000e+03
2.320000000000000000e+02,5.746793630872396752e+06,8.892740166666667223e-01,7.281000000000000000e+03
2.330000000000000000e+02,1.078155529571890458e+07,8.891998500000000138e-01,7.304000000000000000e+03
2.340000000000000000e+02,2.030072406209781766e+07,8.891657333333333746e-01,7.336000000000000000e+03
2.350000000000000000e+02,2.140134629018310923e+06,8.891182666666667123e-01,7.358000000000000000e+03
2.360000000000000000e+02,1.104056138025365956e+07,8.890856333333333472e-01,7.390000000000000000e+03
2.370000000000000000e+02,1.904825028426886722e+07,8.890381666666666849e-01,7.435000000000000000e+03
2.380000000000000000e+02,1.287151243340050336e+06,8.889714166666666806e-01,7.455000000000000000e+03
2.390000000000000000e+02,2.633943859633980785e+06,8.889417499999999750e-01,7.482000000000000000e+03
2.400000000000000000e+02,3.227522353497005999e+06,8.889017000000000168e-01,7.526000000000000000e+03
2.410000000000000000e+02,3.709850368421576917e+07,8.888364333333333978e-01,7.578000000000000000e+03
2.420000000000000000e+02,3.444868081888384651e+06,8.887593000000000298e-01,7.611000000000000000e+03
2.430000000000000000e+02,2.712051521449024975e+07,8.887103499999999823e-01,7.639000000000000000e+03
2.440000000000000000e+02,4.139432061192878056e+06,8.886688166666666389e-01,7.676000000000000000e+03
2.450000000000000000e+02,3.166756150830414891e+07,8.886139333333333834e-01,7.707000000000000000e+03
2.460000000000000000e+02,2.608945869209346548e+07,8.885679499999999953e-01,7.728000000000000000e+03
2.470000000000000000e+02,2.187539531533944886e+06,8.885368000000000155e-01,7.755000000000000000e+03
2.480000000000000000e+02,3.413773189790345728e+07,8.884967500000000573e-01,7.788000000000000000e+03
2.490000000000000000e+02,1.006532068591746688e+07,8.884478000000000097e-01,7.809000000000000000e+03
2.500000000000000000e+02,3.512961764730023593e+07,8.884166500000000299e-01,7.836000000000000000e+03
2.510000000000000000e+02,7.758403249147920869e+06,8.883766000000000718e-01,7.873000000000000000e+03
2.520000000000000000e+02,1.348912867351153400e+06,8.883217166666667053e-01,7.894000000000000000e+03
2.530000000000000000e+02,5.279490463784586638e+06,8.882905666666667255e-01,7.912000000000000000e+03
2.540000000000000000e+02,4.546221392592006922e+07,8.882638666666666794e-01,7.964000000000000000e+03
2.550000000000000000e+02,2.394215175955954939e+06,8.881867333333333114e-01,7.985000000000000000e+03
2.560000000000000000e+02,2.666568645336819347e+06,8.881555833333333316e-01,8.019000000000000000e+03
2.570000000000000000e+02,3.847486040435375646e+06,8.881051500000000098e-01,8.065000000000000000e+03
2.580000000000000000e+02,2.575617717856384069e+07,8.880369166666667313e-01,8.093000000000000000e+03
2.590000000000000000e+02,2.669646114299147949e+07,8.879953833333333879e-01,8.118000000000000000e+03
2.600000000000000000e+02,4.692158459682173096e+06,8.879582999999999782e-01,8.157000000000000000e+03
2.610000000000000000e+02,1.734497965444957465e+07,8.879004500000000633e-01,8.179000000000000000e+03
2.620000000000000000e+02,2.594181816066210344e+07,8.878678166666666982e-01,8.202000000000000000e+03
2.630000000000000000e+02,5.756769222235525958e+06,8.878337000000000589e-01,8.233000000000000000e+03
2.640000000000000000e+02,2.247054371694900095e+06,8.877877166666666708e-01,8.261000000000000000e+03
2.650000000000000000e+02,2.124266201078413986e+06,8.877461833333333274e-01,8.285000000000000000e+03
2.660000000000000000e+02,1.080165372291820124e+07,8.877105833333333029e-01,8.314000000000000000e+03
2.670000000000000000e+02,1.279274139780728705e+07,8.876675666666666853e-01,8.358000000000000000e+03
2.680000000000000000e+02,1.644148031642912701e+07,8.876023000000000662e-01,8.378000000000000000e+03
2.690000000000000000e+02,3.631974691487036645e+06,8.875726333333333606e-01,8.427000000000000000e+03
2.700000000000000000e+02,1.752306761811680393e+06,8.874999500000000374e-01,8.451000000000000000e+03
2.710000000000000000e+02,5.209789372337056696e+07,8.874643500000000129e-01,8.494000000000000000e+03
2.720000000000000000e+02,1.592076249090489466e+06,8.874005666666666681e-01,8.513000000000000000e+03
2.730000000000000000e+02,4.110109643598015420e+06,8.873723833333333477e-01,8.565000000000000000e+03
2.740000000000000000e+02,6.482161735919905826e+06,8.872952499999999798e-01,8.604000000000000000e+03
2.750000000000000000e+02,2.056196308755850419e+06,8.872374000000000649e-01,8.635000000000000000e+03
2.760000000000000000e+02,1.849274658780754078e+06,8.871914166666666768e-01,8.665000000000000000e+03
2.770000000000000000e+02,1.430917943393503502e+07,8.871469166666666739e-01,8.689000000000000000e+03
2.780000000000000000e+02,1.323381553372470476e+07,8.871113166666666494e-01,8.743000000000000000e+03
2.790000000000000000e+02,2.518964730998300016e+07,8.870312166666667331e-01,8.760000000000000000e+03
2.800000000000000000e+02,4.057593363811169565e+07,8.870060000000000722e-01,8.816000000000000000e+03
2.810000000000000000e+02,3.440084568017961923e+06,8.869229333333333853e-01,8.862000000000000000e+03
2.820000000000000000e+02,1.554618901699174894e+06,8.868546999999999958e-01,8.886000000000000000e+03
2.830000000000000000e+02,1.759598267346955370e+06,8.868190999999999713e-01,8.923000000000000000e+03
2.840000000000000000e+02,2.568870259624793380e+07,8.867642166666667158e-01,8.945000000000000000e+03
2.850000000000000000e+02,1.206536443925216049e+07,8.867315833333333508e-01,8.980000000000000000e+03
2.860000000000000000e+02,3.769572933192326687e+06,8.866796666666666438e-01,9.017000000000000000e+03
2.870000000000000000e+02,2.875306643601797149e+07,8.866247833333333883e-01,9.041000000000000000e+03
2.880000000000000000e+02,2.985701845583533868e+07,8.865891833333333638e-01,9.069000000000000000e+03
2.890000000000000000e+02,2.685406962420168798e+06,8.865476500000000204e-01,9.097000000000000000e+03
2.900000000000000000e+02,4.140429924181739334e+06,8.865061166666666770e-01,9.119000000000000000e+03
